,text,hex,h,l
255,DMC 420,#a4714c,0.07007575757575757,0.47058823529411764
256,DMC 422,#c6a27d,0.08447488584474885,0.6333333333333333
257,DMC 433,#81503c,0.04830917874396135,0.37058823529411766
258,DMC 434,#9c6041,0.056776556776556776,0.43333333333333335
259,DMC 435,#ab744e,0.06810035842293907,0.48823529411764705
260,DMC 436,#bc8560,0.06702898550724638,0.5568627450980392
261,DMC 437,#d7a685,0.06707317073170732,0.6823529411764706
262,DMC 444,#f4b900,0.12636612021857924,0.47843137254901963
263,DMC 445,#f8ea9e,0.14074074074074072,0.7960784313725491
264,DMC 451,#99878e,0.9351851851851851,0.5647058823529412
265,DMC 452,#b7a3aa,0.9416666666666667,0.6784313725490196
266,DMC 453,#cec4c1,0.038461538461538665,0.7823529411764706
267,DMC 469,#786f3c,0.1416666666666667,0.3529411764705882
268,DMC 470,#8f924b,0.17370892018779344,0.43333333333333335
269,DMC 471,#a99f64,0.14251207729468604,0.5274509803921569
270,DMC 472,#ccc080,0.14035087719298245,0.6509803921568628
271,DMC 484,#c98178,0.018518518518518514,0.6294117647058823
272,DMC 498,#8e2545,0.9492063492063493,0.3509803921568628
273,DMC 500,#314841,0.44927536231884047,0.2372549019607843
274,DMC 501,#547267,0.4388888888888889,0.38823529411764707
275,DMC 502,#738e85,0.44444444444444453,0.503921568627451
276,DMC 503,#85a5a0,0.47395833333333326,0.5843137254901961
277,DMC 505,#4d7b60,0.4021739130434783,0.39215686274509803
278,DMC 517,#2877a6,0.5621693121693122,0.403921568627451
279,DMC 518,#599dba,0.549828178694158,0.5392156862745098
280,DMC 519,#8cbcd3,0.5539906103286385,0.6882352941176471
281,DMC 520,#546250,0.29629629629629634,0.34901960784313724
282,DMC 522,#95a28f,0.28070175438596484,0.5980392156862745
283,DMC 523,#9fa492,0.21296296296296302,0.607843137254902
284,DMC 524,#afb0a0,0.1770833333333333,0.6588235294117647
285,DMC 535,#696c70,0.5952380952380952,0.42549019607843136
286,DMC 543,#dbcbc0,0.06790123456790119,0.8058823529411765
287,DMC 550-235,#55316d,0.7666666666666667,0.30980392156862746
288,DMC 550-98,#55316d,0.7666666666666667,0.30980392156862746
289,DMC 552,#805c9d,0.7589743589743589,0.4882352941176471
290,DMC 553,#9172b1,0.7486772486772487,0.5705882352941176
291,DMC 554,#c4a2cd,0.7984496124031009,0.7196078431372549
292,DMC 561,#426b5a,0.43089430894308944,0.3392156862745098
293,DMC 562,#69977b,0.39855072463768115,0.5019607843137255
294,DMC 563,#92bea7,0.41287878787878796,0.6588235294117647
295,DMC 564,#a2c4a8,0.36274509803921573,0.7019607843137254
296,DMC 580,#847a44,0.14062499999999997,0.3921568627450981
297,DMC 581,#9e9845,0.15543071161048688,0.44509803921568625
298,DMC 597,#69a9b7,0.5299145299145299,0.5647058823529412
299,DMC 598,#93c1c7,0.5192307692307693,0.6784313725490196
300,DMC 600,#b9366f,0.9274809160305343,0.46862745098039216
301,DMC 601,#c24b80,0.9257703081232492,0.5274509803921569
302,DMC 602,#d36093,0.9260869565217392,0.6019607843137255
303,DMC 603,#e18bb4,0.9205426356589148,0.7137254901960783
304,DMC 604,#e8a4c2,0.926470588235294,0.7764705882352941
305,DMC 605,#eab8d0,0.92,0.8196078431372549
306,DMC 606,#d9342c,0.007707129094412331,0.5117647058823529
